,,,,,,
1,1049呎,1316呎,"1,198萬",2010,康怡花園A座(1-8室)31樓1室,05/11/10,"$1,198萬",N/A,"$9,103",04/02/08,"$1,118萬",N/A,"$8,495"
2,710呎,902呎,273萬,2003,康怡花園A座(1-8室)29樓1室,27/06/03,$273萬,N/A,"$3,027",07/06/02,$325萬,N/A,"$3,603"
3,-,902呎,473萬,1999,康怡花園A座(1-8室)28樓1室,23/06/99,$473萬,N/A,"$5,244"
4,-,902呎,305萬,2002,康怡花園A座(1-8室)27樓1室,03/01/02,$305萬,N/A,"$3,381"
5,710呎,902呎,746萬,2011,康怡花園A座(1-8室)25樓1室,28/02/11,$746萬,N/A,"$8,271",16/03/96,$460萬,N/A,"$5,100"
6,710呎,902呎,378萬,2004,康怡花園A座(1-8室)24樓1室,29/04/04,$378萬,N/A,"$4,186"
7,710呎,902呎,"1,250萬",2018,康怡花園A座(1-8室)23樓1室,17/05/18,"$1,250萬","$17,606","$13,858",27/04/16,$928萬,"$13,070","$10,288",03/09/98,$395萬,N/A,"$4,379",10/11/97,$768萬,N/A,"$8,510"
8,710呎,902呎,480萬,2007,康怡花園A座(1-8室)22樓1室,16/03/07,$480萬,N/A,"$5,322",23/03/01,$365萬,N/A,"$4,047",13/03/97,$625萬,N/A,"$6,929",30/11/96,$542萬,N/A,"$6,009"
9,-,902呎,788萬,1997,康怡花園A座(1-8室)21樓1室,25/04/97,$788萬,N/A,"$8,736",23/10/96,$529萬,N/A,"$5,865"
10,-,902呎,538萬,2007,康怡花園A座(1-8室)20樓1室,14/11/07,$538萬,N/A,"$5,965",08/04/04,$398萬,N/A,"$4,412",07/05/96,$520萬,N/A,"$5,765"
11,710呎,902呎,438萬,2005,康怡花園A座(1-8室)19樓1室,08/03/05,$438萬,N/A,"$4,856",16/04/97,$725萬,N/A,"$8,038"
12,710呎,902呎,460萬,2007,康怡花園A座(1-8室)18樓1室,05/03/07,$460萬,N/A,"$5,100",29/12/04,$410萬,N/A,"$4,545",06/03/97,$658萬,N/A,"$7,295",11/01/97,$590萬,N/A,"$6,541"
13,710呎,902呎,944萬,2015,康怡花園A座(1-8室)17樓1室,28/01/15,$944萬,"$13,293","$10,463",22/07/97,$778萬,N/A,"$8,625",23/05/97,$752萬,N/A,"$8,337"
14,710呎,902呎,615萬,2008,康怡花園A座(1-8室)16樓1室,19/05/08,$615萬,N/A,"$6,818",14/05/98,$589萬,N/A,"$6,530",26/10/96,$570萬,N/A,"$6,319"
15,710呎,902呎,756萬,2011,康怡花園A座(1-8室)15樓1室,14/02/11,$756萬,N/A,"$8,381",26/03/98,$570萬,N/A,"$6,319"
16,710呎,902呎,418萬,2000,康怡花園A座(1-8室)14樓1室,21/01/00,$418萬,N/A,"$4,634"
17,-,902呎,438萬,2004,康怡花園A座(1-8室)12樓1室,22/12/04,$438萬,N/A,"$4,856",03/03/00,$415萬,N/A,"$4,601"
18,710呎,902呎,646萬,2008,康怡花園A座(1-8室)10樓1室,06/06/08,$646萬,N/A,"$7,162",13/01/98,$590萬,N/A,"$6,541",15/04/97,$710萬,N/A,"$7,871"
19,710呎,902呎,800萬,2011,康怡花園A座(1-8室)9樓1室,04/07/11,$800萬,N/A,"$8,867",02/01/04,$298萬,N/A,"$3,304",06/11/97,$754萬,N/A,"$8,357",09/12/96,$540萬,N/A,"$5,987"
20,-,902呎,768萬,1997,康怡花園A座(1-8室)8樓1室,18/09/97,$768萬,N/A,"$8,514"
21,-,902呎,505萬,1995,康怡花園A座(1-8室)7樓1室,27/09/95,$505萬,N/A,"$5,599"
22,710呎,902呎,"1,300萬",2018,康怡花園A座(1-8室)5樓1室,30/05/18,"$1,300萬","$18,310","$14,412"
23,710呎,902呎,745萬,2011,康怡花園A座(1-8室)4樓1室,10/08/11,$745萬,N/A,"$8,259"
24,710呎,902呎,410萬,2007,康怡花園A座(1-8室)2樓1室,30/03/07,$410萬,N/A,"$4,545",13/06/97,$695萬,N/A,"$7,705",15/01/97,$570萬,N/A,"$6,319"
25,668呎,808呎,530萬,2008,康怡花園A座(1-8室)29樓2室,09/04/08,$530萬,N/A,"$6,559",04/11/99,$383萬,N/A,"$4,738",30/10/96,$488萬,N/A,"$6,040"
26,668呎,808呎,338萬,2004,康怡花園A座(1-8室)28樓2室,12/03/04,$338萬,N/A,"$4,183",27/06/00,$350萬,N/A,"$4,332"
27,668呎,808呎,360萬,2005,康怡花園A座(1-8室)22樓2室,24/03/05,$360萬,N/A,"$4,455",20/08/98,$363萬,N/A,"$4,493"
28,668呎,808呎,600萬,2012,康怡花園A座(1-8室)21樓2室,23/03/12,$600萬,N/A,"$7,426",26/09/02,$230萬,N/A,"$2,847"
29,668呎,808呎,680萬,2011,康怡花園A座(1-8室)19樓2室,30/09/11,$680萬,N/A,"$8,416"
30,668呎,808呎,680萬,2011,康怡花園A座(1-8室)18樓2室,23/09/11,$680萬,N/A,"$8,416",24/10/05,$415萬,N/A,"$5,136",04/10/95,$380萬,N/A,"$4,703"
31,668呎,808呎,343萬,2006,康怡花園A座(1-8室)17樓2室,12/12/06,$343萬,N/A,"$4,249"
32,668呎,808呎,242萬,2002,康怡花園A座(1-8室)14樓2室,26/11/02,$242萬,N/A,"$2,993",01/05/98,$455萬,N/A,"$5,631"
33,668呎,808呎,600萬,2010,康怡花園A座(1-8室)13樓2室,06/08/10,$600萬,N/A,"$7,426"
34,668呎,808呎,480萬,1996,康怡花園A座(1-8室)11樓2室,03/12/96,$480萬,N/A,"$5,941",17/01/96,$370萬,N/A,"$4,579"
35,-,808呎,332萬,2004,康怡花園A座(1-8室)10樓2室,08/06/04,$332萬,N/A,"$4,109",22/05/98,$433萬,N/A,"$5,359"
36,668呎,808呎,535萬,2010,康怡花園A座(1-8室)8樓2室,22/01/10,$535萬,N/A,"$6,621"
37,668呎,808呎,543萬,2010,康怡花園A座(1-8室)7樓2室,23/08/10,$543萬,N/A,"$6,720",16/11/04,$331萬,N/A,"$4,100",30/01/04,$250萬,N/A,"$3,094",18/11/98,$325萬,N/A,"$4,022",24/09/96,$430萬,N/A,"$5,322"
38,668呎,808呎,"1,083萬",2018,康怡花園A座(1-8室)6樓2室,23/03/18,"$1,083萬","$16,213","$13,403",07/09/11,$590萬,N/A,"$7,302",21/12/98,$340萬,N/A,"$4,208",08/03/96,$393萬,N/A,"$4,864"
39,668呎,808呎,480萬,2008,康怡花園A座(1-8室)5樓2室,25/02/08,$480萬,N/A,"$5,941"
40,668呎,808呎,335萬,1995,康怡花園A座(1-8室)4樓2室,25/11/95,$335萬,N/A,"$4,146"
41,668呎,808呎,450萬,2009,康怡花園A座(1-8室)3樓2室,13/07/09,$450萬,N/A,"$5,569",23/01/01,$255萬,N/A,"$3,156"
42,668呎,808呎,566萬,2010,康怡花園A座(1-8室)2樓2室,10/12/10,$566萬,N/A,"$7,005",15/02/96,$346萬,N/A,"$4,282"
43,668呎,827呎,718萬,2013,康怡花園A座(1-8室)1樓2室,05/03/13,$718萬,N/A,"$8,682",19/01/11,$500萬,N/A,"$6,046",11/01/10,$442萬,N/A,"$5,345",11/12/96,$430萬,N/A,"$5,200"
44,1048呎,1183呎,500萬,2001,康怡花園A座(1-8室)31樓3室,17/04/01,$500萬,N/A,"$4,227"
45,668呎,808呎,788萬,2012,康怡花園A座(1-8室)29樓3室,27/12/12,$788萬,N/A,"$9,752",21/04/10,$585萬,N/A,"$7,240",23/08/01,$305萬,N/A,"$3,770"
46,-,808呎,295萬,2001,康怡花園A座(1-8室)28樓3室,01/08/01,$295萬,N/A,"$3,651"
47,-,808呎,480萬,1998,康怡花園A座(1-8室)26樓3室,14/03/98,$480萬,N/A,"$5,941",08/09/95,$455萬,N/A,"$5,631"
48,-,808呎,380萬,1995,康怡花園A座(1-8室)24樓3室,13/10/95,$380萬,N/A,"$4,703"
49,-,808呎,280萬,2001,康怡花園A座(1-8室)21樓3室,25/08/01,$280萬,N/A,"$3,465",11/11/96,$480萬,N/A,"$5,941"
50,668呎,808呎,370萬,2000,康怡花園A座(1-8室)20樓3室,10/02/00,$370萬,N/A,"$4,579"
51,668呎,808呎,360萬,2004,康怡花園A座(1-8室)19樓3室,13/07/04,$360萬,N/A,"$4,455",29/08/00,$300萬,N/A,"$3,713",21/07/00,$280萬,N/A,"$3,465"
52,-,808呎,682萬,1997,康怡花園A座(1-8室)17樓3室,04/10/97,$682萬,N/A,"$8,441"
53,668呎,808呎,209萬,2003,康怡花園A座(1-8室)15樓3室,23/08/03,$209萬,N/A,"$2,587"
54,-,808呎,643萬,1997,康怡花園A座(1-8室)14樓3室,07/04/97,$643萬,N/A,"$7,958"
55,668呎,808呎,595萬,1997,康怡花園A座(1-8室)13樓3室,06/05/97,$595萬,N/A,"$7,364"
56,668呎,808呎,"1,122萬",2018,康怡花園A座(1-8室)11樓3室,07/03/18,"$1,122萬","$16,796","$13,886",26/06/07,$420萬,N/A,"$5,198"
57,668呎,808呎,650萬,1997,康怡花園A座(1-8室)10樓3室,29/04/97,$650萬,N/A,"$8,045"
58,668呎,808呎,508萬,2008,康怡花園A座(1-8室)7樓3室,04/08/08,$508萬,N/A,"$6,287",25/04/97,$596萬,N/A,"$7,376"
59,-,808呎,268萬,2001,康怡花園A座(1-8室)6樓3室,27/11/01,$268萬,N/A,"$3,317"
60,-,808呎,294萬,2001,康怡花園A座(1-8室)5樓3室,10/04/01,$294萬,N/A,"$3,636"
61,668呎,808呎,882萬,2015,康怡花園A座(1-8室)4樓3室,17/02/15,$882萬,"$13,204","$10,916"
62,668呎,808呎,"1,022萬",2017,康怡花園A座(1-8室)3樓3室,07/07/17,"$1,022萬","$15,299","$12,649",14/05/05,$415萬,N/A,"$5,136"
63,668呎,808呎,313萬,2000,康怡花園A座(1-8室)2樓3室,12/08/00,$313萬,N/A,"$3,874"
64,668呎,827呎,201萬,2003,康怡花園A座(1-8室)1樓3室,25/10/03,$201萬,N/A,"$2,430",18/10/95,$380萬,N/A,"$4,595"
65,1049呎,1316呎,930萬,2007,康怡花園A座(1-8室)31樓4室,16/10/07,$930萬,N/A,"$7,067",01/09/97,"$1,220萬",N/A,"$9,271",30/08/96,$908萬,N/A,"$6,900"
66,710呎,902呎,493萬,1999,康怡花園A座(1-8室)30樓4室,14/09/99,$493萬,N/A,"$5,466"
67,710呎,902呎,"1,060萬",2015,康怡花園A座(1-8室)29樓4室,20/05/15,"$1,060萬","$14,930","$11,752",27/05/98,$610萬,N/A,"$6,763",13/02/97,$669萬,N/A,"$7,417",16/01/97,$490萬,N/A,"$5,432"
68,-,902呎,361萬,2004,康怡花園A座(1-8室)28樓4室,16/02/04,$361萬,N/A,"$4,002"
69,710呎,902呎,715萬,2009,康怡花園A座(1-8室)27樓4室,08/09/09,$715萬,N/A,"$7,927",03/12/98,$440萬,N/A,"$4,878",04/07/96,$580萬,N/A,"$6,430"
70,710呎,902呎,495萬,2006,康怡花園A座(1-8室)25樓4室,27/11/06,$495萬,N/A,"$5,488"
71,710呎,902呎,720萬,2012,康怡花園A座(1-8室)24樓4室,27/04/12,$720萬,N/A,"$7,982"
72,-,902呎,575萬,1996,康怡花園A座(1-8室)19樓4室,27/11/96,$575萬,N/A,"$6,375"
73,710呎,902呎,640萬,2008,康怡花園A座(1-8室)16樓4室,27/05/08,$640萬,N/A,"$7,095",24/08/95,$510萬,N/A,"$5,654"
74,710呎,902呎,410萬,2000,康怡花園A座(1-8室)15樓4室,06/11/00,$410萬,N/A,"$4,545"
75,-,902呎,500萬,2007,康怡花園A座(1-8室)14樓4室,10/03/07,$500萬,N/A,"$5,543",17/11/98,$360萬,N/A,"$3,991"
76,710呎,902呎,400萬,2001,康怡花園A座(1-8室)13樓4室,16/03/01,$400萬,N/A,"$4,435"
77,-,902呎,430萬,1998,康怡花園A座(1-8室)11樓4室,30/07/98,$430萬,N/A,"$4,767"
78,710呎,902呎,"1,448萬",2018,康怡花園A座(1-8室)10樓4室,25/05/18,"$1,448萬","$20,394","$16,053",30/07/05,$475萬,N/A,"$5,266"
